PIXid
Phototubes (PMPIX). For each we have 
   -the telescope identification number
   -the pixel identification number 
   -the pixel shape (1=circular, 2=hexagonal, 3=square)
   -orientation angle(degrees). If 0.0, polygon side perpendicular
    to the y-axis
   -the X position coordinate in the focal plane in mm
   -the Y position coordinate in the focal plane in mm
	Camera coordinates are such that increasing X corresponds to 
	going WEST when telescope is pointing SOUTH. Increasing Y 
	corresponds to increasing elevation.
   -the PMT Radius in mm
	The PMT radius really is the radius of the sensitive area (Radius of 
	the light cone input for example).
   -the geometrical efficiency which may be used to include the effects 
	of light cone loss. 
   -the quantum efficiency identification number to be used for that tube. 
   -the single photoelectron signal relative amplitude fluctuation. 
   -the signal rize time in nanosecondes
   -the signal fall time  in nanosecondes
   -the RC coupling time constant in nanosecondes
   -the bellongin of the channel to the trigger (1 if it bellongs, 
	0 other wise)
   -a flag indicating if the pixel should be used in the analysis(1) or not(0)
   -a time offset in nanosecond. It measures how late the pulse is locate in 
       the stack for each channel. the analysis and the simulation search 
       for the smalles non negative value and subtract it from all the other 
       to apply a relative correction.
   -a relative gain factor to account for the imperfect gain flat fielding. 
    In the anlysis, each pixel value is multiplied by this number while 
    in the simulation pulse amplitudes are divided by this number.

(JH) effective tube radius of 12.3mm (mean of ~20 values) measured by Purdue
(JH) Assume 100% geometrical efficiency over this area, then 50% out to 15.5mm
(JH) gives overall efficiency of 81%. This is a guess.

(GM) single pe values (amplitude fluctuations, rise and fall times)
(GM) according to calibration note from Jamie and Gernot (ELOG 720)

* PMPIX 1 83 1 0.0	    -47.10	    135.97 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 84 1 0.0	    -15.70	    135.97 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 85 1 0.0	     15.70	    135.97 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 86 1 0.0	     47.10	    135.97 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 87 1 0.0	     78.50	    135.97 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 88 1 0.0	     94.20	    108.77 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 89 1 0.0	    109.90	     81.58 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 90 1 0.0	    125.60	     54.39 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 91 1 0.0	    141.30	     27.19 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 92 1 0.0	    188.40	     -0.00 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 93 1 0.0	    172.70	    -27.19 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 94 1 0.0	    157.00	    -54.39 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 95 1 0.0	    141.30	    -81.58 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 96 1 0.0	    125.60	   -108.77 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 97 1 0.0	    109.90	   -135.97 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 98 1 0.0	     94.20	   -163.16 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 99 1 0.0	     62.80	   -163.16 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 100 1 0.0	     31.40	   -163.16 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 101 1 0.0	      0.00	   -163.16 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 102 1 0.0	    -31.40	   -163.16 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 103 1 0.0	    -62.80	   -163.16 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 104 1 0.0	    -94.20	   -163.16 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 105 1 0.0	   -109.90	   -135.97 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 106 1 0.0	   -125.60	   -108.77 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 107 1 0.0	   -141.30	    -81.58 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 108 1 0.0	   -157.00	    -54.39 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 109 1 0.0	   -172.70	    -27.19 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 110 1 0.0	   -188.40	     -0.00 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 111 1 0.0	   -172.70	     27.19 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 112 1 0.0	   -157.00	     54.39 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 113 1 0.0	   -141.30	     81.58 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 114 1 0.0	   -125.60	    108.77 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 115 1 0.0	   -109.90	    135.97 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 116 1 0.0	    -94.20	    163.16 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 117 1 0.0	    -62.80	    163.16 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 118 1 0.0	    -31.40	    163.16 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 119 1 0.0	     -0.00	    163.16 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
* PMPIX 1 120 1 0.0	     31.40	    163.16 14.0 1.00 1 0.44 4.0 65.0 0.000 1  1   0.0   1.0
